Services;Description type
Accompagnement à l’emploi;Soutien et accompagnement pour rechercher un emploi : rédaction de CV,  préparation d'entretien, réalisation des démarches administratives nécessaires.
Accompagnement social;Soutien apporté par des travailleurs sociaux, sur une courte ou longue durée, pour aider à connaître et faire valoir ses droits. Cet accompagnement, destiné autant aux personnes seules qu'aux familles, vise aussi à leur transmettre les informations essentielles sur leur situation et à favoriser leur intégration dans la société.
Accueil de jour;Lieu où les personnes peuvent venir se reposer pendant la journée, et qui propose en général plusieurs services essentiels (repas, hygiène...).
Activités diverses;Activités de loisir, le plus souvent en groupe : culturelles (théâtre, sorties...), manuelles (couture, poterie...)
Activités sportives;Activités sportives, individuelles ou collectives, le plus souvent encadrées par des animateurs.
acupuncture;Consultation où le spécialiste utilise des aiguilles pour stimuler certains points du corps afin de soulager des douleurs ou améliorer le bien-être
Addiction;Accueil, information et accompagnement pour les personnes présentant une dépendance (à une substance, à une activité) et/ou leurs proches.
Aide à la mobilité;Aide (financière, matérielle...) pour faciliter le transport des personnes : pour le permis de conduire, pour l'achat ou la réparation d'un véhicule, pour le transport en commun...
allergologie;Consultation où le médecin identifie et traite les allergies grâce à des tests, des conseils et, si nécessaire, un traitement adapté.
Animaux;Distribution gratuite ou à petit prix de produits pour les animaux comme des croquettes ou des produits d'hygiène.
Atelier de cuisine;Des ateliers cuisine sont des moments de partage où l'on apprend des recettes, des astuces ou des manières de cuisiner. Ces ateliers sont animés par des bénévoles ou des professionnels.
Atelier numérique;Atelier, le plus souvent en groupe, qui permet d'apprendre ou de se perfectionner avec l'informatique : utiliser les outils, réaliser ses démarches en ligne, chercher un emploi, réaliser un CV...
Bagagerie;Lieu où il est possible de déposer ses affaires (exemple : bagages) pour une durée plus ou moins longue.
Bibliothèque;Consultation ou prêt de livres gratuit.
Bien-être;Les service de bien-être proposent des activités pour se détendre et prendre soin de soi. Ces activités peuvent inclure la sophrologie, la relaxation, la méditation, ou encore des massages.
Bon/chèque alimentaire;Les bons et chèques alimentaires sont des aides distribuées aux personnes en difficulté financière pour qu'elles puissent faire leurs courses. Ils permettent d'acheter des produits alimentaires (hors alcool) et d’hygiène dans les commerces classiques partenaires.
Boutique Solidaire;Objets, matériel, meubles gratuits ou à petit prix.
cardiologie;Consultation où le spécialiste du cœur examine le patient, vérifie la santé cardiovasculaire et fournit un traitement ou des conseils si nécessaire.
Co-voiturage;Le covoiturage permet à plusieurs personnes de partager une voiture pour effectuer un trajet ensemble.
Coffre-fort numérique;Le coffre-fort numérique est un outil pour stocker ses documents administratifs et personnels. Le but est d'avoir une copie de ces documents  pour ne pas les perdre.
Colis bébé;Un colis bébé est une aide pour les familles en difficulté financière. On peut y trouver des produits comme des couches, des biberons, du lait maternisé et/ou des vêtements.
Conseil administratif;Conseil et aide simple sur les démarches administratives de base.
Conseil aux parents;Conseil, écoute et soutien pour les parents dans l'éducation de leurs enfants.
Conseil budget;Conseil et aide sur la gestion de son budget, par exemple en cas de sur-endettement.
Conseil Handicap;Soutien et accompagnement pour les personnes en situation de handicap : démarches administratives, aides...
Conseil logement;Le conseil logement propose des informations et un accompagnement pour rechercher un logement. Il soutient aussi les personnes pour rester dans leur logement, par exemple en cas de logement insalubre ou de procédure d’expulsion.
Cours de français;Cours qui permet d'apprendre la langue française.
Cuisine partagée;Une cuisine partagée permet d'avoir accès à du matériel pour cuisiner et de cuisiner avec d'autres personnes.
Dentaire;Consultation où le dentiste examine les dents et les gencives, soigne les problèmes dentaires et donne des conseils pour garder une bonne santé bucco-dentaire.
Dépistage;Examen médical permettant de détecter une maladie (MST, tuberculose...) afin d’agir rapidement si nécessaire.
dermatologie;Consultation où le médecin examine la peau, les cheveux et les ongles, traite les problèmes dermatologiques et donne des conseils de soins.
Distribution de repas;Distribution de repas gratuits ou à petit prix.
Domiciliation;La domiciliation permet aux personnes sans-domicile d'avoir une adresse administrative. Celle-ci permet de recevoir du courrier et de bénéficier d'aides et prestations sociales.
Douche;Douches accessibles pour se laver.
echographie;Examen médical par échographie permettant d'observer les organes internes, comme un bébé pendant la grossesse, sans douleur ni rayons X.
Ecrivain public;Un écrivain public est une personne qui rédige ou aide à rédiger des documents administratifs.
endocrinologie;Consultation où le spécialiste des hormones examine le patient, analyse les troubles hormonaux et propose un traitement ou des conseils adaptés.
Epicerie sociale et solidaire;"Une épicerie sociale et solidaire se présente comme une épicerie ""classique"". La différence est que les produits qu'on y trouve sont moins chers (entre 10% et 30% du prix de base). Faire ses courses dans une épicerie sociale et solidaire est réservé à des personnes qui ont des difficultés financières."
Espace de repos;Un espace de repos est un lieu calme où les personnes peuvent s’allonger ou s’asseoir pendant la journée. Il est équipé de sièges et de canapés pour pouvoir se reposer.
Espace familles;L’espace famille est un lieu où les familles peuvent se retrouver avec leurs enfants. Elles peuvent y participer à des jeux et passer du temps ensemble.
Fontaine à eau;Accès à de l'eau potable.
Frigo solidaire;Un frigo solidaire est un réfrigérateur en libre service que l'on peut trouver à plusieurs endroits en ville, par exemple dans ou devant certains commerces. Des gens peuvent y déposer des aliments et d'autres peuvent les prendre gratuitement.
Garde d’enfants;La garde d’enfants permet de confier ses enfants à une structure d’accueil, dans un environnement sécurisé, pour une demi-journée ou une journée.
gastro-enterologie;Consultation où le spécialiste du système digestif examine le patient, évalue les troubles digestifs et fournit un traitement ou des conseils.
gynecologie;Consultation où le spécialiste de la santé des femmes examine, conseille et traite les problèmes liés au cycle menstruel, à la grossesse et aux organes reproducteurs.
