place_id,place_name,flagged_words,excerpt
5a58c0c7c1797fe45e3772cf,Hors la rue - centre d'appui aux maraudes,rendez-vous,"Créé en 2004, Hors la rue est une association qui a pour objectif de repérer et d'accompagner les en..."
5a58c0c7c1797fe45e377313,CAARUD PROSES Montreuil,rendez-vous,Le CAARUD (Centre d’Accueil et d’Accompagnement à la Réduction des Risque pour les Usagers de Drogue...
5ac61ba495f2dd33a777d005,Le Pôle Social,rendez-vous,Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis ...
5addb1037cdc26742ba37a17,SPADA 93,rendez-vous,La Plateforme d’Accueil des Demandeurs d’Asile (SPADA) est le passage obligatoire pour obtenir un re...
5addce8d7cdc26742ba37a63,SOS Victimes 93 - Point d'accès aux droits,rendez-vous,"Sos Victimes 93 Aide et accompagne les victimes d’infraction pénale (violence volontaire, escroqueri..."
5addf2927cdc26742ba37aa2,point-justice du Pré Saint-Gervais,rendez-vous,Le point-justice du Pré Saint-Gervais est un service juridique de proximité qui peut être sollicité ...
5adf33537cdc26742ba37b45,point-justice de Livry-Gargan,rendez-vous,Le point-justice de Livry-Gargan est un service juridique de proximité qui peut être sollicité en de...
5ae0845f7cdc26742ba37b97,point-justice de Drancy,rendez-vous,Le point-justice de Drancy est un service juridique de proximité qui peut être sollicité en dehors d...
5ae085ff7cdc26742ba37b9c,PASS - Centre hospitalier de Saint-Denis Delafontaine,rendez-vous,La PASS  (Permanence d'Accès aux Soins de Santé) du Centre Hospitalier de Saint-Denis propose un acc...
5ae1a6ab7cdc26742ba37bca,point-justice de Montreuil Centre-Ville,rendez-vous,Le point-justice de Montreuil Centre-Ville est un service juridique de proximité qui peut être solli...
5ae1c9017cdc26742ba37c07,Bureau d'accompagnement vers l'emploi,rendez-vous,Le Bureau d'Accompagnement Individualisé vers l'Emploi (BAIE) du CIDFF 93 est un Service agréé par l...
5ae1cca67cdc26742ba37c15,SOS Femmes 93  - Lieu d'Accueil et d'Orientation,rendez-vous,Lieu d’Accueil et d’Orientation pour les femmes victimes de violences conjugales originaires de la S...
5ae1d9e57cdc26742ba37c53,Point d'Accès au Droit de Noisy-le-Sec,rendez-vous,Le Point d’Accès au Droit (PAD) de Noisy-le-Sec est un lieu labélisé par le conseil Départemental d’...
5ae2e1387cdc26742ba37c84,Maison de Justice et du Droit d'Epinay-sur-Seine,rendez-vous,La maison de justice et du droit d'Epinay-sur-Seine est une structure judiciaire de proximité qui dé...
5ae2e66d7cdc26742ba37c8b,Maison de Justice et du Droit de Clichy-sous-Bois,rendez-vous,La maison de justice et du droit de Clichy-sous-Bois est une structure judiciaire de proximité qui d...
5ae2f2057cdc26742ba37caf,CeGIDD du Centre hospitalier de Saint-Denis,rendez-vous,Le CeGIDD du Centre hospitalier de Saint-Denis est un Centre Gratuit d’Information de Dépistage et d...
5ae30fff7cdc26742ba37ce5,Juris Secours Bobigny,rendez-vous,"Association d’accès au Droit et de cohésion sociale. Permanence juridique, conseil administratif, éc..."
5ae313c97cdc26742ba37cf3,point-justice de Sevran,rendez-vous,Le point-justice de Sevran est un service juridique de proximité qui peut être sollicité en dehors d...
5ae339647cdc26742ba37d6f,Maison de Justice et du Droit de Pantin,rendez-vous,La maison de justice et du droit de Pantin est une structure judiciaire de proximité qui dépend du t...
5ae6d2af7cdc26742ba37d9d,CDPS de Saint-Denis Pleyel,rendez-vous,"Le CDPS de Saint-Denis Pleyel assure des missions de prévention, de dépistage et de diagnostic du VI..."
5ae6d42d7cdc26742ba37daa,ADEPT 93,rendez-vous,"Créée en 1969, L’ADEPT, association 1901, est un lieu dédié à l’accueil et à l’accompagnement des fa..."
5ae6e1a57cdc26742ba37dfa,CDPS de Montreuil,rendez-vous,"Le CDPS de Montreuil assure des missions de prévention, de dépistage et de diagnostic du VIH et des ..."
5ae9ae417cdc26742ba37f23,Centre Social Grand Air - Espace 40,rendez-vous,"Le centre social Grand Air propose, à Montreuil toutes les semaines et sur rendez-vous: de l'accompa..."
5ae9d8c77cdc26742ba37fa0,Maison de  Justice et du Droit d'Aubervilliers,rendez-vous,La maison de justice et du droit d'Aubervilliers est une structure judiciaire de proximité qui dépen...
5aeb16ba7cdc26742ba3804f,Maison des Femmes Thérèse Clerc,rendez-vous,La Maison des Femmes Thérèse Clerc est un « Lieu ressource féministe » pour les droits et l’émancipa...
5aeb326a7cdc26742ba38080,Maison de Justice et du Droit de La Courneuve,rendez-vous,La maison de justice et du droit de La Courneuve est une structure judiciaire de proximité qui dépen...
5af56abf7cdc26742ba38292,Circonscription de Service Social Départemental de Bondy,rendez-vous,"Le Service Social Départemental de Bondy propose un accueil, information et orientation pour tout pu..."
5af56be97cdc26742ba38297,Circonscription du Service Social Départemental de Montfermeil/ Coubron/ Clichy-sous-Bois. Site de Clichy sous Bois,rendez-vous,"Accueil téléphonique et physique  Accueil, information et orientation pour tout public ayant notamme..."
5af56fe87cdc26742ba382a1,Circonscription de Service Social Départemental de Drancy,rendez-vous,"Accueil téléphonique et physique  Accueil, information et orientation pour tout public ayant notamme..."
5af5716c7cdc26742ba382a5,Circonscription du Service Social Départemental de Dugny/ Le Bourget/ Le Blanc Mesnil. Site du Blanc Mesnil.,rendez-vous,"Accueil téléphonique et physique  Accueil, information et orientation pour tout public ayant notamme..."
5af595d07cdc26742ba382d8,Circonscription du Service Social Départemental d'Epinay-sur-Seine-Villetaneuse / site d'Epinay sur Seine,rendez-vous,"Immeuble seine première à Epinay.  Accueil téléphonique et physique Accueil, information et orientat..."
5af597077cdc26742ba382da,"Circonscription du Service Social Départemental de Neuilly sur Marne, Neuilly Plaisance, Gagny",rendez-vous,"Accueil téléphonique et physiqueAccompagnement social, accès au droits, insertion socio professionne..."
5af598297cdc26742ba382dc,Circonscription du Service Social Départemental de La Courneuve,rendez-vous,"Accueil téléphonique et physique  Accueil, information et orientation pour tout public ayant notamme..."
5af59bcd7cdc26742ba382e7,MAISON DEPARTEMENTALE DES SOLIDARITES Dugny/Le Bourget/ Le Blanc Mesnil. Site du Blanc-Mesnil,rendez-vous,"Accueil téléphonique et physiqueAccueil, information et orientation pour tout public ayant notamment..."
5af59f0d7cdc26742ba382f4,Circonscription de Service Social Départemental du Pré-Saint-Gervais/ Les Lilas,rendez-vous,"Accueil téléphonique et physiqueAccueil, information et orientation pour tout public ayant notamment..."
5af5a36c7cdc26742ba38307,Circonscription du Service Social Départemental de L'Ile-Saint-Denis- Saint Ouen / Site de L'Ile St Denis,rendez-vous,"Service Social Départemental de l'Ile-Saint-Denis : accueil téléphonique et physique  Accueil, infor..."
5af5a5847cdc26742ba38312,Circonscription du Service Social Départemental de Pavillons sous Bois / Livry-Gargan /Vaujours. Site de Livry Gargan.,rendez-vous,"Accueil téléphonique et physique  Accueil, information et orientation pour tout public ayant notamme..."
5af5a69f7cdc26742ba38314,Circonscription du Service Social Départemental de Montfermeil /Coubron/Clichy sous Bois. Site de Montfermeil.,rendez-vous,"Accueil téléphonique et physiqueAccueil, information et orientation pour tout public ayant notamment..."
5af5a8457cdc26742ba38320,Circonscription du Service Social Départemental de Montreuil,rendez-vous,"Accueil téléphonique et physiqueAccueil, information et orientation pour tout public ayant notamment..."
