place_name,texte,score,avg_sentence_length,total_words,total_uncommon_words,uncommon_tokens,passive_sentences,passive_ratio,subordinate_clauses,subordinate_ratio,subordinate_words
Le Refuge de Pantin,"Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement. Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.",71.33333333333334,21.0,63,0,[],0,0.0,1,0.3333333333333333,"[""d'""]"
Hors la rue - centre d'appui aux maraudes,"Créé en 2004, Hors la rue est une association qui a pour objectif de repérer et d'accompagner les enfants et adolescents étrangers en danger et de faire respecter leurs droits. Elle propose:- Des maraudes auprès de mineurs en situation de rue et d’errance- Un accompagnement personnalisé et des actions éducatives- Une orientation et un accompagnement vers le droit commun et la protection de l’enfance- Un accueil sur rendez-vous avec l’équipe éducative au centre de jour d’appui aux maraudes situé à Montreuil- De l'art-thérapie et un soutien psychologique ",82.66172839506173,16.2,81,2,"['maraudes', 'maraudes']",1,0.2,0,0.0,[]
CAARUD PROSES Saint-Denis,"Le CAARUD (Centre d’Accueil et d’Accompagnement à la Réduction des Risque pour les Usagers de Drogues) PROSES est un établissement médico-social destiné à accueillir des usagers de drogues dont le but initial est de fournir un accès à du matériel de réduction des risques ainsi que des conseils personnalisés, le tout dans un cadre anonyme confidentiel, et inconditionnel.L'accueil est anonyme, gratuit, et dit “à bas seuil d'exigence” : toutes les personnes adultes et consommatrices des drogues dès 18 ans  peuvent venir quelque soit  leur état physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique,  opinions politiques, appartenance religieuse etc.",35.0,47.5,95,0,[],0,0.0,0,0.0,[]
CAARUD PROSES Montreuil,Le CAARUD (Centre d’Accueil et d’Accompagnement à la Réduction des Risque pour les Usagers de Drogues) PROSES est un établissement médico-social qui accueille de manière inconditionnelle et anonyme des usagers de drogues.Les rendez-vous pour les soins et services médicaux peuvent être pris les mardis et jeudis.,60.0,22.5,45,0,[],1,0.5,0,0.0,[]
CAARUD Yucca,"Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de Réduction Des Risques (RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ansL'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.",73.31764705882354,20.4,102,3,"['Yucca', 'psychoactifs', 'maraudes']",0,0.0,1,0.2,['déjeuner']
CAARUD Aurore,"Le CAARUD (Centres d'Accueil et d'Accompagnement à la Réduction des Risques pour usagers de Drogues) Aurore est un établissement médico-social qui accueille de manière inconditionnelle et anonyme des usagers de droguesIl accueille, informe et conseille les usagers de drogues notamment pour la réduction des risques de consommation : accès aux droits de santé, accès à l’hygiène et aux soins de première nécessité, orientation, mise à disposition de matériel de prévention des infections, distribution d'antidotes aux overdoses.Une équipe est dédiée au ramassage de seringues et petits matériels dans l'espace urbain ",52.39393939393941,29.333333333333332,88,1,['droguesIl'],1,0.3333333333333333,0,0.0,[]
Toilettes publiques,nan,100.0,1.0,1,0,[],0,0.0,0,0.0,[]
Toilettes publiques,nan,100.0,1.0,1,0,[],0,0.0,0,0.0,[]
CMP Pantin,"Le Centre médico-psychologique (CMP) de Pantin propose des consultations médico-psychologiques et sociales pour toute personne en souffrance psychique. Le CMP est un établissement pluridisciplinaire où vont travailler conjointement des psychiatres, des psychologues, des infirmières, des assistants sociaux et autres intervenants de santé mentale. Le CMP a une double mission de soins et de prévention. Il propose des consultations gratuites (prise en charge par la sécurité sociale) et anonymes.",93.96969696969697,16.5,66,1,['pluridisciplinaire'],0,0.0,0,0.0,[]
Restos du Coeur - Centre d’activités d'Aubervilliers,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités d'Aulnay-sous-Bois,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Bondy,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Drancy,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de La Courneuve,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités du Pré-Saint-Gervais,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).  ",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités des Lilas,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Noisy-le-Grand,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Noisy-le-Sec,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Pantin,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).   ",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Pierrefitte,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Saint-Denis,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Saint-Ouen,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).   ",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Stains,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Tremblay-en-France,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Villepinte,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…). ",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Le Pôle Social,"Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.Il regroupe notamment une l'épicerie sociale et solidaire Le P'tit Marché, un Point Hygiène et différentes permanences.Le centre distribution des Restos du Coeur et le Secours Catholique y sont également présents.Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.",83.27441860465116,17.2,86,1,['cyberdépendance'],1,0.2,0,0.0,[]
Restos du Coeur - Centre d’activités du Bourget,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Neuilly-sur-Marne,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…)",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Montreuil,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Restos du Coeur - Centre d’activités de Sevran,"Les centres d’activités proposent des aides d'urgence et d'inclusion sociale : accueil, écoute, aide alimentaire, aide matérielle, orientation, accompagnement (soutien à la recherche d’emploi, départs en vacances, ateliers de français, inclusion numérique, distribution alimentaire…).",14.0,33.0,33,0,[],0,0.0,1,1.0,['départs']
Association Speranza,L'association Speranza dispose d'une épicerie sociale ouverte du lundi au vendredi. L'accès à l'épicerie est réservée aux adhérents.,63.888888888888886,9.0,18,1,['Speranza'],1,0.5,0,0.0,[]
Boutique Coup de Main - Pantin,"La Boutique Coup de Main de Pantin est une boutique solidaire accessible à tous qui vend des meubles, des vêtements et de la vaisselle à des prix solidaires. Les objets sont récupérés et vendus sous la forme d'un chantier d'insertion.",65.0,20.0,40,0,[],1,0.5,0,0.0,[]
Boutique Coup de Main - Bagnolet,"La Boutique Coup de Main de Bagnolet est une boutique solidaire accessible à tous qui vend des meubles, des vêtements et de la vaisselle à des prix solidaires. Les objets sont récupérés et vendus sous la forme d'un chantier d'insertion.",60.0,20.0,40,1,['Bagnolet'],1,0.5,0,0.0,[]
Habitat-Cité,L'association Habitat-Cité propose des permanences juridiques uniquement sur RDV sur un certain nombre de thématiques ainsi que des cours de français langue étrangère. L'association emploie du personnel russophone et roumanophone.,86.09677419354838,15.5,31,2,"['russophone', 'roumanophone']",0,0.0,0,0.0,[]
Association Ikambere « La Maison Accueillante »,"Ikambere est un centre de ressources qui permet aux femmes vulnérables infectées par le VIH d'accéder à l'autonomie par une insertion sociale et professionnelle.Ikambere apporte au quotidien une prise en charge globale aux femmes fragilisées par la vie et la maladie et les accompagne vers l'autonomie.Les activités proposées sont destinées aux bénéficiaires de l'association (femmes touchées par le VIH).L'accueil est ouvert jusqu'à 18h, mais les professionnels et les services ne sont ouverts que jusqu'à 17h.",55.333333333333336,25.0,75,3,"['Ikambere', 'Ikambere', 'fragilisées']",1,0.3333333333333333,0,0.0,[]
SPADA 93,"La Plateforme d’Accueil des Demandeurs d’Asile (SPADA) est le passage obligatoire pour obtenir un rendez-vous avec la préfecture et l’OFII (Guichet Unique: GUDA), afin de déposer une demande d’asile sur le département de la Seine Saint DenisC’est un lieu d’accueil, d’information, de conseil, d’orientation et d’accès aux droits pour les demandeurs d’asileAttention, si vous venez d’arriver à Paris ou sa région et que souhaitez demander l’asile en France, vous devez maintenant composer ce numéro de téléphone gratuit : 01 42 50 09 00.",60.035087719298254,25.333333333333332,76,1,['asileAttention'],0,0.0,1,0.3333333333333333,['si']
